	Diets	Size_Class	Home_Range	Activity	Schooling	Level_water
22624	IM	S5	Sed	Night	Sol	Bottom
22631	OM	S1	Sed	Day	Sol	Bottom
22638	OM	S2	Sed	Day	Sol	Bottom
22645	OM	S1	Sed	Day	Sol	Bottom
22660	HD	S1	Sed	Day	Sol	Bottom
22662	HD	S2	Sed	Day	Sol	Bottom
22665	HD	S1	Sed	Day	Sol	Bottom
22667	HD	S1	Sed	Day	Sol	Bottom
22684	IM	S2	Sed	Day	Sol	Bottom
227	FC	S6	VMob	Both	SmallG	High
22729	IM	S2	Sed	Day	SmallG	Bottom
22734	IM	S1	Sed	Day	Sol	Bottom
22739	IM	S1	Sed	Day	Sol	Bottom
22761	IM	S2	Sed	Day	SmallG	Bottom
22765	IM	S2	Sed	Day	SmallG	Bottom
22768	IM	S1	Sed	Day	SmallG	Bottom
22779	IM	S2	Sed	Day	Sol	Bottom
22781	IM	S2	Sed	Day	Sol	Bottom
22790	IM	S3	Mob	Both	Sol	Bottom
22791	IM	S1	Sed	Day	Sol	Bottom
22799	IM	S1	Sed	Day	Sol	Bottom
228	IM	S6	Mob	Day	SmallG	Low
22804	IM	S1	Sed	Day	Sol	Bottom
22805	IM	S1	Sed	Day	Sol	Bottom
22812	IM	S1	Sed	Day	Sol	Low
22816	IM	S3	Sed	Day	Sol	Bottom
22818	IM	S2	Sed	Day	Sol	Bottom
22819	HD	S1	Sed	Day	Sol	Bottom
22822	IM	S1	Sed	Day	Sol	Bottom
22823	FC	S3	Sed	Night	Sol	Bottom
22830	IM	S2	Mob	Day	Sol	Bottom
22835	OM	S2	Sed	Day	Sol	Bottom
22869	IM	S4	Sed	Day	Sol	Bottom
22879	IM	S2	Sed	Day	Sol	Bottom
22882	IM	S2	Sed	Day	Sol	Bottom
22886	IM	S2	Sed	Day	Sol	Bottom
22896	IM	S1	Sed	Day	Sol	Bottom
22900	IM	S1	Sed	Day	Sol	Bottom
22906	IM	S1	Sed	Day	Sol	Bottom
22908	IM	S1	Sed	Day	Sol	Bottom
22919	IM	S4	Sed	Night	Sol	Bottom
22946	IM	S1	Sed	Day	Sol	Bottom
22956	FC	S3	Mob	Both	Sol	Bottom
2300	IM	S5	Mob	Day	Sol	Bottom
23010	OM	S1	Sed	Day	Sol	Bottom
23012	FC	S6	Sed	Night	Sol	Bottom
23013	PK	S5	Sed	Day	LargeG	Bottom
23079	OM	S1	Sed	Day	Sol	Bottom
23082	PK	S1	Sed	Day	Sol	Bottom
23083	IM	S2	Sed	Day	Pair	Bottom
23122	IM	S3	Mob	Day	Sol	Bottom
23123	IM	S4	Mob	Day	Sol	Bottom
23124	IM	S4	Mob	Day	Sol	Bottom
23125	IM	S4	Mob	Both	Sol	Bottom
23126	IM	S3	Sed	Day	Sol	Bottom
23130	FC	S5	Sed	Night	Sol	Bottom
23138	IM	S2	Sed	Day	Sol	Bottom
23157	IM	S3	Mob	Night	Sol	Bottom
23222	IM	S4	Sed	Day	Sol	Bottom
23227	IM	S1	Sed	Day	Sol	Bottom
23229	IM	S1	Sed	Day	Sol	Bottom
23243	IM	S2	Sed	Night	Sol	Bottom
23244	IM	S2	Sed	Night	Sol	Bottom
23249	IM	S2	Mob	Night	Sol	Low
23251	IM	S2	Sed	Night	Sol	Bottom
23254	IM	S3	Sed	Night	Sol	Bottom
23269	IM	S2	Sed	Day	Sol	Bottom
23273	IM	S5	Sed	Night	Sol	Bottom
23274	IM	S5	Sed	Night	Sol	Bottom
23278	IM	S2	Sed	Night	Sol	Bottom
23284	FC	S6	Sed	Night	Sol	Bottom
23301	PK	S6	Sed	Day	LargeG	Bottom
23328	PK	S2	Sed	Day	LargeG	Low
23329	PK	S2	Sed	Day	LargeG	Low
23333	PK	S3	Sed	Day	Pair	Low
23363	IS	S3	Mob	Day	Sol	Low
23370	IS	S5	Mob	Day	Sol	Low
23375	HD	S3	Mob	Day	SmallG	Bottom
23391	IM	S4	VMob	Night	Sol	Low
23421	PK	S2	Sed	Day	SmallG	Low
23424	PK	S2	Sed	Day	LargeG	Low
23425	PK	S2	Sed	Day	LargeG	Low
23427	PK	S2	Sed	Day	LargeG	Low
23430	PK	S2	Sed	Day	LargeG	Low
23433	PK	S2	Sed	Day	MedG	Low
23434	IM	S1	Sed	Day	Sol	Bottom
23437	IM	S2	Sed	Night	Sol	Bottom
23438	IM	S1	Sed	Night	Sol	Bottom
23439	PK	S1	Sed	Day	SmallG	Low
23452	PK	S1	Sed	Night	LargeG	Low
23454	IM	S1	Sed	Night	SmallG	Bottom
23455	PK	S3	Sed	Night	Sol	Low
23477	PK	S3	Sed	Night	MedG	Low
23481	PK	S3	Sed	Night	MedG	Low
23493	IM	S3	Sed	Day	Sol	Bottom
23501	IM	S2	Sed	Day	Sol	Bottom
23504	IM	S4	VMob	Both	Sol	Bottom
23512	OM	S5	Mob	Day	SmallG	Bottom
23516	IM	S3	Mob	Day	Sol	Bottom
23517	IM	S3	Mob	Day	SmallG	Bottom
23519	IM	S3	Mob	Day	Sol	Bottom
23521	IM	S3	Mob	Day	Sol	Bottom
23525	IM	S2	Mob	Day	Sol	Bottom
23526	IM	S2	Mob	Day	Sol	Bottom
23527	IM	S3	Mob	Day	Sol	Bottom
23530	IM	S2	Sed	Day	Pair	Bottom
23534	IM	S2	Sed	Day	Sol	Bottom
23536	IM	S3	Mob	Day	SmallG	Bottom
23540	IM	S1	Sed	Day	Sol	Bottom
23542	IM	S1	Sed	Day	Sol	Bottom
23543	IM	S1	Sed	Day	Sol	Bottom
23544	IM	S1	Sed	Day	Sol	Bottom
23551	IM	S3	Mob	Day	Sol	Bottom
23554	IM	S3	Mob	Day	Sol	Bottom
23556	FC	S3	Mob	Day	Sol	Bottom
23557	IM	S2	Mob	Day	Sol	Bottom
23559	PK	S3	Sed	Day	SmallG	Low
23560	PK	S3	Sed	Day	SmallG	Low
23562	OM	S1	Sed	Day	Sol	Bottom
23564	OM	S1	Sed	Day	Sol	Bottom
23568	IM	S2	Sed	Day	Sol	Bottom
23573	OM	S2	Sed	Day	Sol	Bottom
23577	PK	S1	Sed	Day	SmallG	Bottom
23580	PK	S1	Sed	Day	MedG	Low
23581	OM	S2	Sed	Day	Sol	Bottom
23582	IM	S1	Sed	Day	Sol	Bottom
23586	PK	S1	Sed	Day	Sol	Bottom
23588	PK	S1	Sed	Day	Sol	Bottom
23591	PK	S1	Sed	Day	Sol	Bottom
23595	OM	S2	Sed	Day	Sol	Bottom
23599	IM	S1	Sed	Day	Sol	Bottom
23600	IM	S1	Sed	Day	Sol	Bottom
23601	IM	S2	Sed	Day	Sol	Bottom
23610	IM	S4	Sed	Day	Sol	Bottom
23626	IM	S6	VMob	Day	Sol	Bottom
23636	OM	S2	Sed	Day	Sol	Bottom
23637	OM	S2	Sed	Day	Sol	Bottom
23639	IM	S2	Sed	Day	Sol	Bottom
23640	PK	S2	Sed	Day	Pair	Bottom
23641	OM	S2	Sed	Day	Sol	Bottom
23642	PK	S2	Sed	Day	Pair	Bottom
23643	PK	S2	Sed	Day	Pair	Bottom
23644	OM	S2	Sed	Day	Sol	Bottom
23645	OM	S2	Sed	Day	Sol	Bottom
23647	IM	S2	Sed	Day	Sol	Bottom
23648	FC	S3	Sed	Night	SmallG	Low
23649	IM	S2	Sed	Day	Sol	Bottom
23650	PK	S2	Sed	Night	SmallG	Low
23651	PK	S2	Sed	Night	LargeG	Low
23653	IM	S1	Sed	Day	Sol	Bottom
23656	PK	S2	Sed	Night	MedG	Low
23657	IS	S1	Sed	Day	Sol	Bottom
23658	IS	S1	Sed	Day	Sol	Bottom
23659	IS	S1	Sed	Day	Sol	Bottom
23661	OM	S1	Sed	Day	Sol	Bottom
23662	OM	S1	Sed	Day	Sol	Bottom
23663	OM	S1	Sed	Day	Sol	Bottom
23665	OM	S1	Sed	Day	Sol	Bottom
23690	IM	S1	Sed	Day	Sol	Bottom
23692	IM	S1	Sed	Day	Sol	Bottom
23697	HD	S2	Sed	Day	Sol	Bottom
23701	PK	S2	Sed	Day	Sol	Bottom
23702	PK	S1	Sed	Day	Sol	Bottom
23708	OM	S1	Sed	Day	Pair	Bottom
23709	OM	S1	Sed	Day	Pair	Bottom
23711	OM	S1	Sed	Day	Sol	Bottom
23714	IM	S1	Sed	Day	Sol	Bottom
23719	OM	S1	Sed	Day	Sol	Bottom
23727	HD	S2	Sed	Day	Sol	Bottom
23731	IM	S1	Sed	Day	SmallG	Bottom
23732	IM	S1	Sed	Day	SmallG	Bottom
23733	IM	S1	Sed	Day	SmallG	Bottom
23734	IM	S1	Sed	Day	SmallG	Bottom
23735	IM	S2	Sed	Day	Sol	Bottom
23736	IM	S1	Sed	Day	Sol	Bottom
23738	FC	S3	Sed	Night	Sol	Bottom
23741	PK	S2	Sed	Night	SmallG	Low
23743	IM	S3	Sed	Day	Sol	Bottom
23757	HD	S2	Sed	Day	Sol	Bottom
23758	IM	S1	Sed	Day	Pair	Low
23760	OM	S2	Sed	Day	Sol	Bottom
23766	PK	S2	Sed	Day	LargeG	Low
23770	HD	S1	Sed	Day	Sol	Bottom
23771	HD	S2	Sed	Day	Sol	Bottom
23843	PK	S1	Sed	Day	LargeG	Low
23868	FC	S3	Sed	Night	Sol	Bottom
23876	FC	S4	Sed	Night	Sol	Bottom
23877	FC	S2	Sed	Night	Sol	Bottom
23879	FC	S4	Sed	Night	Sol	Bottom
23884	FC	S3	Sed	Night	Sol	Bottom
23889	IM	S2	Sed	Night	Sol	Bottom
23890	FC	S2	Sed	Night	Sol	Bottom
23894	IM	S2	Sed	Night	Sol	Bottom
23895	IM	S2	Sed	Night	Sol	Bottom
23896	IM	S1	Sed	Night	Sol	Bottom
23898	IM	S2	Sed	Night	Sol	Bottom
24146	IM	S1	Sed	Day	Sol	Bottom
24185	IM	S1	Sed	Day	Sol	Bottom
24186	IM	S1	Sed	Day	Sol	Bottom
24202	IM	S2	Sed	Day	Sol	Bottom
24212	IM	S1	Mob	Day	Sol	Bottom
24251	IM	S3	Mob	Day	Sol	Bottom
24253	IM	S2	Mob	Day	Sol	Bottom
24261	IM	S2	Mob	Day	Sol	Bottom
24268	IM	S3	Sed	Day	Sol	Bottom
24282	IM	S4	Sed	Night	Sol	Bottom
24283	IM	S5	Sed	Night	Sol	Bottom
24287	IM	S1	Sed	Night	Sol	Bottom
24290	IM	S4	Sed	Night	Sol	Bottom
24295	IM	S4	Sed	Night	Sol	Bottom
24319	IM	S4	Sed	Night	Sol	Bottom
24339	PK	S2	Sed	Night	SmallG	Low
24340	PK	S1	Sed	Night	Sol	Low
24349	FC	S5	Sed	Night	Sol	Bottom
24355	FC	S6	Sed	Night	Sol	Bottom
24363	FC	S5	Sed	Night	Sol	Bottom
24434	PK	S2	Sed	Day	LargeG	Low
24435	PK	S1	Sed	Day	MedG	Low
24436	PK	S1	Sed	Day	MedG	Low
24437	PK	S2	Sed	Day	Sol	Low
24438	IM	S3	Sed	Night	Sol	Bottom
24439	IM	S1	Sed	Day	Sol	Bottom
24440	IM	S2	Sed	Day	Sol	Bottom
24441	IM	S1	Sed	Day	Sol	Bottom
24442	IM	S2	Sed	Day	Sol	Bottom
24443	IM	S2	Sed	Day	Sol	Bottom
24444	IM	S2	Sed	Day	Sol	Bottom
24445	IM	S2	Sed	Day	Sol	Bottom
24446	IM	S3	Sed	Day	Sol	Bottom
24447	IM	S4	VMob	Both	Sol	Bottom
24640	FC	S3	Mob	Both	Sol	Bottom
2467	IM	S6	VMob	Both	Sol	High
24714	IM	S4	Sed	Night	Sol	Bottom
24733	FC	S2	Sed	Night	Sol	Bottom
24841	IM	S2	Sed	Night	Sol	Bottom
24842	OM	S4	VMob	Day	MedG	Low
24844	IM	S3	Sed	Night	Sol	Bottom
24854	PK	S2	Sed	Day	LargeG	Low
24856	PK	S2	Sed	Day	LargeG	Low
24895	IM	S4	Mob	Night	Sol	Bottom
24957	IM	S2	Sed	Night	Sol	Bottom
24961	IM	S2	Sed	Night	Sol	Bottom
24963	IM	S2	Sed	Night	Sol	Bottom
24964	IM	S3	Sed	Night	Sol	Bottom
24965	IM	S1	Sed	Night	Sol	Bottom
2497	IM	S5	Mob	Day	SmallG	Low
24970	IM	S1	Sed	Night	Sol	Bottom
2498	HM	S5	VMob	Day	MedG	Low
24980	OM	S3	Sed	Night	Sol	Bottom
24995	IM	S1	Sed	Day	Sol	Bottom
24999	IM	S1	Mob	Day	Sol	Bottom
2500	PK	S3	Mob	Day	MedG	Low
25026	PK	S2	Sed	Day	MedG	Low
25030	PK	S2	Sed	Day	MedG	Low
25031	PK	S2	Sed	Day	MedG	Low
25033	PK	S1	Sed	Night	LargeG	Low
25034	PK	S1	Sed	Night	SmallG	Low
25037	PK	S1	Sed	Night	LargeG	Low
25042	OM	S1	Sed	Day	Sol	Bottom
25049	PK	S1	Sed	Night	LargeG	Low
25051	PK	S2	Sed	Night	MedG	Low
25053	IM	S2	Sed	Day	Sol	Bottom
25058	PK	S1	Sed	Night	LargeG	Low
25063	IM	S3	Mob	Night	LargeG	Low
25072	OM	S1	Sed	Day	Sol	Bottom
25073	IM	S1	Sed	Night	Sol	Bottom
25077	PK	S1	Sed	Night	LargeG	Low
25105	PK	S1	Sed	Night	LargeG	Low
25109	PK	S1	Sed	Night	SmallG	Low
25210	OM	S2	Sed	Day	SmallG	Bottom
25216	OM	S2	Sed	Day	SmallG	Bottom
25219	HD	S2	Sed	Day	SmallG	Bottom
25230	IM	S1	Sed	Day	Sol	Bottom
25311	IM	S1	Sed	Night	Sol	Bottom
25322	PK	S5	Sed	Day	LargeG	Bottom
25368	IM	S2	Sed	Day	Pair	Bottom
25370	PK	S1	Sed	Night	MedG	Low
25372	IM	S2	Mob	Day	Sol	Bottom
25376	IM	S2	Mob	Day	Sol	Bottom
25377	OM	S1	Sed	Day	Sol	Bottom
25412	IM	S3	Mob	Day	Sol	Bottom
25413	IM	S4	Mob	Day	Sol	Bottom
25414	OM	S1	Sed	Day	Sol	Bottom
25415	IM	S2	Mob	Day	Sol	Bottom
25417	OM	S2	Sed	Day	Pair	Bottom
25418	IS	S1	Sed	Day	Pair	Bottom
25419	IM	S3	Sed	Day	Sol	Bottom
25420	IM	S4	Sed	Day	Sol	Bottom
25421	OM	S1	Sed	Day	SmallG	Bottom
25423	IM	S2	Sed	Day	Sol	Bottom
25424	HD	S2	Sed	Day	Pair	Bottom
25425	HD	S2	Sed	Day	Pair	Bottom
25426	HD	S3	Sed	Day	SmallG	Bottom
25427	HD	S2	Sed	Day	Pair	Bottom
25428	IS	S2	Sed	Day	Pair	Bottom
25430	IM	S4	Sed	Day	Sol	Bottom
25434	IS	S3	Sed	Day	Pair	Bottom
25435	PK	S3	Mob	Day	MedG	Low
25436	IM	S3	Sed	Day	Pair	Bottom
25437	IM	S4	Mob	Day	SmallG	Bottom
25439	OM	S4	VMob	Day	MedG	Bottom
25446	FC	S3	VMob	Both	SmallG	Bottom
25447	PK	S3	Sed	Night	MedG	Low
25449	PK	S3	Sed	Night	MedG	Low
25451	OM	S1	Sed	Day	Sol	Bottom
25452	IM	S1	Sed	Day	SmallG	Bottom
25453	HD	S2	Sed	Day	Sol	Bottom
25456	IM	S3	Sed	Day	Sol	Bottom
25461	IM	S1	Sed	Day	Sol	Bottom
25462	IM	S1	Sed	Day	Sol	Bottom
25463	OM	S2	Sed	Day	Sol	Bottom
25489	OM	S2	Sed	Day	Sol	Bottom
25493	IM	S1	Sed	Day	Sol	Bottom
25494	OM	S1	Sed	Day	Sol	Bottom
25501	IM	S4	VMob	Night	SmallG	Bottom
25502	PK	S4	VMob	Night	LargeG	High
25503	PK	S3	VMob	Night	LargeG	High
25507	PK	S2	Sed	Night	SmallG	Low
25508	PK	S2	Sed	Night	SmallG	Low
25509	OM	S1	Sed	Day	Sol	Bottom
25510	PK	S1	Sed	Day	Sol	Bottom
25513	IM	S2	Sed	Day	Sol	Bottom
25522	IM	S2	Sed	Day	Sol	Bottom
25525	OM	S1	Sed	Day	Sol	Bottom
25529	IM	S2	Sed	Day	Sol	Bottom
25531	IM	S2	Sed	Day	Sol	Bottom
25532	PK	S2	Sed	Day	Sol	Bottom
25534	IM	S1	Sed	Day	Sol	Bottom
25538	IM	S1	Sed	Day	Sol	Bottom
25541	PK	S1	Sed	Day	SmallG	Bottom
25542	IM	S1	Sed	Day	Pair	Bottom
25543	PK	S1	Sed	Day	Sol	Bottom
25544	IM	S1	Sed	Day	Sol	Bottom
25545	FC	S3	Sed	Night	Sol	Bottom
25547	IM	S5	Mob	Night	Sol	Bottom
25552	IM	S3	Sed	Night	Sol	Bottom
25553	IM	S2	Sed	Day	Sol	Bottom
25620	OM	S1	Sed	Day	Sol	Bottom
25626	OM	S1	Sed	Day	Sol	Bottom
25677	OM	S4	Mob	Day	MedG	Bottom
25682	PK	S2	Sed	Day	SmallG	Low
25683	PK	S1	Sed	Day	Sol	Bottom
25685	IM	S1	Sed	Day	Sol	Bottom
25686	PK	S1	Sed	Night	SmallG	Low
25688	IM	S3	Mob	Day	SmallG	Bottom
25689	IM	S2	Mob	Day	SmallG	Bottom
25690	IM	S2	Mob	Day	Sol	Bottom
25691	OM	S1	Sed	Day	Sol	Bottom
25692	OM	S1	Sed	Day	Sol	Bottom
25694	OM	S3	Sed	Day	Sol	Bottom
25701	IM	S3	Sed	Night	Sol	Bottom
25703	IM	S4	Sed	Night	Sol	Bottom
25706	IM	S5	Mob	Day	Sol	Bottom
25754	IM	S3	Mob	Day	Sol	Bottom
25756	IM	S6	Mob	Day	Sol	Bottom
25759	PK	S3	Sed	Day	MedG	Low
25760	PK	S2	Sed	Day	MedG	Low
25762	PK	S1	Sed	Day	MedG	Low
25763	PK	S2	Sed	Day	MedG	Low
25764	PK	S2	Sed	Day	MedG	Low
25765	PK	S1	Sed	Day	MedG	Low
25769	IM	S4	Mob	Day	Sol	Bottom
25781	PK	S1	Mob	Day	Sol	Bottom
25783	PK	S3	Sed	Day	SmallG	Low
25785	PK	S1	Sed	Day	MedG	Low
25787	IM	S3	Mob	Day	SmallG	Bottom
25788	IS	S2	Mob	Day	Sol	Bottom
25790	PK	S2	Sed	Day	Pair	Low
25794	HD	S1	Sed	Day	Sol	Bottom
25795	OM	S2	Sed	Day	Sol	Bottom
25798	OM	S2	Sed	Day	Sol	Bottom
25799	OM	S2	Sed	Day	Sol	Bottom
25800	OM	S2	Sed	Day	Sol	Bottom
25802	HD	S3	Mob	Day	SmallG	Bottom
25806	IM	S2	Sed	Day	Sol	Bottom
25808	IM	S5	Mob	Day	SmallG	Bottom
25809	IM	S3	Mob	Day	SmallG	Bottom
25837	IM	S2	Sed	Day	Sol	Bottom
25838	IM	S1	Mob	Day	Sol	Bottom
25845	FC	S3	Sed	Night	Sol	Bottom
25955	IM	S2	Sed	Day	Sol	Bottom
25974	IM	S3	Sed	Day	Sol	Bottom
2603	IM	S3	Sed	Day	Sol	Bottom
2605	IM	S3	Sed	Day	Sol	Low
2606	IM	S4	Sed	Night	Sol	Bottom
26061	PK	S4	VMob	Day	LargeG	High
2607	IM	S3	Sed	Day	Sol	Low
2608	IM	S3	Sed	Both	Sol	Bottom
2609	IM	S6	Sed	Both	Sol	Bottom
26095	IM	S1	Sed	Night	Sol	Bottom
261	IM	S4	Mob	Both	MedG	Low
2610	IM	S4	Sed	Both	Sol	Bottom
26104	IM	S1	Sed	Day	Sol	Bottom
2612	IM	S4	Sed	Both	Sol	Bottom
26120	IM	S3	Mob	Day	SmallG	Bottom
2613	FC	S6	Sed	Night	Sol	Bottom
2615	IM	S6	Sed	Both	Sol	Bottom
2616	IM	S5	Sed	Both	Sol	Bottom
2618	IM	S5	Sed	Both	Sol	Bottom
26181	IM	S2	Sed	Day	Sol	Bottom
26186	IM	S2	Sed	Day	Sol	Bottom
26196	PK	S3	Mob	Night	SmallG	Low
262	IM	S4	Mob	Both	SmallG	Low
26201	PK	S3	Mob	Night	SmallG	Low
26210	PK	S3	Mob	Night	SmallG	Low
26212	PK	S3	Mob	Night	SmallG	Low
26220	HD	S3	Sed	Day	Sol	Bottom
26221	HD	S5	Mob	Day	SmallG	Bottom
26224	IM	S1	Sed	Day	Sol	Bottom
26227	IM	S4	Sed	Day	Sol	Bottom
26231	IM	S3	Sed	Day	Sol	Bottom
2624	IM	S4	Sed	Day	Sol	Bottom
26243	IM	S2	Sed	Day	Sol	Bottom
26245	IM	S2	Sed	Day	Sol	Bottom
26246	PK	S3	Mob	Night	SmallG	Low
26247	IM	S2	Sed	Day	Sol	Bottom
26249	IM	S3	Sed	Day	Sol	Bottom
26250	IM	S2	Sed	Day	Sol	Bottom
26251	IM	S5	Sed	Day	Sol	Bottom
26254	IM	S4	Sed	Day	Sol	Bottom
26255	IM	S3	Sed	Day	Sol	Bottom
26256	IM	S2	Sed	Day	Sol	Bottom
26257	IM	S3	Sed	Day	Sol	Bottom
26258	IM	S2	Sed	Day	Sol	Bottom
26261	IM	S3	Sed	Day	SmallG	Bottom
26264	IM	S4	Sed	Day	Sol	Bottom
26265	IM	S1	Sed	Day	Sol	Bottom
26266	IM	S3	Sed	Day	Sol	Bottom
26276	PK	S2	Sed	Day	SmallG	Low
26286	PK	S2	Sed	Day	SmallG	Low
26289	PK	S2	Sed	Day	SmallG	Low
2631	IM	S5	Sed	Day	Sol	Bottom
26317	OM	S1	Sed	Day	Sol	Bottom
26318	OM	S1	Sed	Day	Sol	Bottom
26319	OM	S1	Sed	Day	Pair	Bottom
26320	PK	S1	Sed	Day	SmallG	Bottom
2633	FC	S4	Mob	Day	Sol	Bottom
2634	FC	S4	Mob	Day	Sol	Bottom
26343	OM	S1	Sed	Day	Sol	Bottom
26344	OM	S1	Sed	Day	Sol	Bottom
2638	FC	S5	Mob	Day	Sol	Bottom
26398	OM	S1	Sed	Day	Sol	Bottom
264	IM	S6	Mob	Night	SmallG	Low
2642	FC	S4	Mob	Day	Sol	Bottom
26420	IS	S1	Mob	Day	Sol	Low
26426	IM	S1	Sed	Day	Sol	Bottom
2645	FC	S6	Mob	Day	Sol	Bottom
2647	FC	S4	Mob	Day	Sol	Bottom
2649	IM	S6	Mob	Day	Sol	Bottom
265	IM	S5	Mob	Both	MedG	Bottom
2650	IM	S6	Sed	Night	Sol	Bottom
2651	IM	S6	Mob	Day	Sol	Bottom
2652	FC	S4	Mob	Day	Sol	Bottom
2654	IM	S4	Sed	Day	Sol	Bottom
2656	FC	S6	Sed	Day	Sol	Bottom
266	IM	S6	Mob	Day	SmallG	Low
26611	OM	S2	Sed	Day	Sol	Bottom
26632	PK	S2	Sed	Night	SmallG	Low
26635	IM	S2	Sed	Day	Sol	Bottom
26636	IM	S2	Sed	Day	Sol	Bottom
26638	PK	S2	Sed	Day	MedG	Low
26639	IM	S2	Mob	Day	Sol	Low
26659	OM	S2	Sed	Day	Sol	Bottom
26660	IM	S1	Sed	Day	Sol	Bottom
26673	IM	S1	Sed	Day	Sol	Bottom
26677	OM	S1	Sed	Day	Sol	Bottom
26684	IM	S1	Sed	Day	Sol	Bottom
26691	PK	S1	Sed	Day	Sol	Bottom
26693	PK	S2	Sed	Day	MedG	Low
26704	PK	S1	Sed	Day	MedG	Low
26714	IM	S1	Sed	Night	Sol	Bottom
26729	IM	S1	Sed	Night	Sol	Bottom
26735	IM	S1	Sed	Night	Sol	Bottom
26755	IM	S1	Sed	Night	Sol	Bottom
26761	IM	S2	Sed	Night	Sol	Bottom
26769	IM	S1	Sed	Day	Sol	Bottom
26773	IM	S1	Sed	Day	Sol	Bottom
26779	IM	S1	Sed	Day	Sol	Bottom
26785	IM	S3	Sed	Day	Sol	Bottom
26791	IM	S1	Sed	Day	Sol	Bottom
26799	IM	S2	Sed	Day	Sol	Bottom
26804	IM	S2	Sed	Day	Sol	Bottom
26810	IM	S2	Sed	Day	Sol	Bottom
26817	IM	S2	Sed	Day	Sol	Bottom
26820	PK	S1	Sed	Day	Sol	Bottom
26823	IM	S2	Sed	Day	Sol	Bottom
26828	IM	S1	Sed	Day	Sol	Bottom
26832	IM	S2	Sed	Day	Sol	Bottom
26837	IM	S1	Sed	Day	Sol	Bottom
26840	IM	S1	Sed	Day	Sol	Bottom
26841	FC	S2	Sed	Day	Sol	Bottom
26864	IM	S2	Mob	Day	Sol	Bottom
26865	IM	S2	Mob	Day	Sol	Bottom
26866	IM	S2	Mob	Day	Sol	Bottom
26868	IM	S1	Sed	Day	Sol	Bottom
26872	PK	S1	Sed	Day	LargeG	Low
26966	IM	S1	Sed	Night	Sol	Bottom
26967	IM	S1	Sed	Day	Sol	Bottom
26968	IM	S3	Mob	Day	SmallG	Bottom
26991	PK	S1	Sed	Day	Sol	Bottom
26993	IM	S1	Sed	Day	Sol	Bottom
26994	PK	S3	Sed	Night	SmallG	Low
26999	IM	S2	Sed	Day	Sol	Bottom
27000	IM	S2	Sed	Night	Sol	Bottom
27001	PK	S3	Sed	Day	LargeG	Low
27004	OM	S2	Sed	Day	SmallG	Bottom
27006	PK	S2	Sed	Day	SmallG	Low
27015	HD	S2	Sed	Day	Sol	Bottom
27016	IM	S2	Sed	Day	Sol	Bottom
27030	IM	S2	Sed	Day	Sol	Bottom
27037	PK	S1	Sed	Night	MedG	Low
27038	FC	S6	Sed	Night	Sol	Bottom
27050	OM	S3	Sed	Day	Sol	Bottom
27078	PK	S2	Sed	Day	MedG	Low
27080	OM	S1	Sed	Day	Sol	Bottom
27084	FC	S5	Sed	Night	Sol	Bottom
27085	IM	S4	Sed	Night	Sol	Bottom
27088	IM	S1	Sed	Day	Sol	Bottom
27142	IM	S2	Sed	Night	Sol	Bottom
2716	FC	S3	Sed	Day	Sol	Bottom
2717	FC	S3	Sed	Day	Sol	Bottom
27178	HD	S2	Sed	Day	Sol	Bottom
2718	FC	S4	Sed	Day	Sol	Bottom
27180	HD	S1	Sed	Day	Sol	Bottom
27181	HD	S1	Sed	Day	Sol	Bottom
27183	HD	S2	Sed	Day	Sol	Bottom
2719	FC	S4	Sed	Day	Sol	Bottom
27195	HD	S2	Sed	Day	Sol	Bottom
2720	FC	S4	Sed	Day	Sol	Bottom
2721	FC	S5	Mob	Both	Sol	Bottom
27211	IM	S1	Sed	Night	Sol	Bottom
2722	FC	S3	Sed	Day	Sol	Bottom
2723	FC	S4	Sed	Day	Sol	Bottom
27231	IM	S5	Sed	Both	Sol	Bottom
27233	PK	S2	Sed	Night	Sol	Low
27234	IM	S3	Sed	Day	Sol	Low
27235	PK	S2	Mob	Day	MedG	Low
27236	IM	S1	Sed	Day	Sol	Bottom
27237	HD	S2	Sed	Day	Sol	Bottom
2724	FC	S3	VMob	Both	Sol	Bottom
27244	IM	S1	Sed	Day	Sol	Bottom
27245	HD	S2	Sed	Day	Sol	Bottom
27247	HD	S2	Sed	Day	Sol	Bottom
27276	OM	S1	Sed	Day	Sol	Bottom
27278	OM	S1	Sed	Day	Sol	Bottom
27279	IM	S3	Sed	Night	Sol	Bottom
27280	OM	S1	Sed	Day	Sol	Bottom
27293	OM	S1	Sed	Day	Sol	Bottom
27294	OM	S1	Sed	Day	Sol	Bottom
27295	HD	S1	Sed	Day	Sol	Bottom
27296	HD	S1	Sed	Day	Sol	Bottom
27298	FC	S1	Sed	Night	Sol	Bottom
27310	IM	S4	Sed	Night	Sol	Bottom
27311	IM	S4	Sed	Night	Sol	Bottom
27312	PK	S2	Sed	Day	LargeG	Low
27313	PK	S2	Sed	Night	SmallG	Low
27315	PK	S1	Sed	Night	MedG	Low
27316	IM	S3	VMob	Both	SmallG	Bottom
27317	IM	S3	VMob	Both	SmallG	Bottom
27318	PK	S4	VMob	Day	LargeG	High
27319	FC	S5	Sed	Night	Sol	Bottom
27325	FC	S6	Sed	Night	Sol	Bottom
27334	IM	S4	Sed	Night	Sol	Bottom
27338	IM	S2	Sed	Night	Sol	Bottom
