	Diets	Size_Class	Home_Range	Activity	Schooling	Level_water
10748	IM	S3	Sed	Night	Sol	Bottom
10752	IM	S2	Mob	Both	Sol	Bottom
10753	IM	S3	Mob	Day	Sol	Bottom
10757	IM	S2	Sed	Night	Sol	Bottom
10759	FC	S2	Sed	Night	Sol	Bottom
1077	IM	S6	Sed	Day	Sol	Bottom
10771	PK	S2	Sed	Day	SmallG	Low
10776	FC	S5	Mob	Both	Sol	Bottom
10786	HD	S2	Sed	Day	Pair	Bottom
1079	FC	S6	VMob	Day	MedG	High
10793	IM	S4	Mob	Both	LargeG	High
10794	IM	S4	VMob	Both	LargeG	Low
10797	IM	S3	VMob	Day	MedG	High
10801	PK	S2	Sed	Night	SmallG	Low
1081	OM	S5	VMob	Day	MedG	High
10817	OM	S4	VMob	Day	MedG	Low
10819	IS	S2	Sed	Day	Sol	Bottom
1082	IS	S3	Mob	Day	Sol	Low
10823	IS	S3	Sed	Day	Pair	Bottom
10828	IS	S4	Sed	Day	Pair	Bottom
10842	PK	S2	Sed	Day	LargeG	Low
10848	IM	S4	Mob	Day	Sol	Bottom
10851	IS	S3	Sed	Day	Pair	Bottom
10853	IM	S3	Mob	Day	Sol	Bottom
1086	HD	S6	VMob	Both	LargeG	High
10867	IM	S2	Mob	Day	Sol	Bottom
10870	HD	S3	Sed	Day	Pair	Bottom
10882	IM	S3	Sed	Day	Sol	Bottom
10896	PK	S3	Sed	Day	SmallG	Low
1092	IM	S4	Mob	Day	MedG	Low
1093	IM	S3	Mob	Day	MedG	Low
10934	IS	S3	Sed	Day	SmallG	Bottom
10938	IS	S3	Sed	Day	SmallG	Bottom
1094	IM	S4	Mob	Day	SmallG	Low
10940	IS	S3	Sed	Day	SmallG	Bottom
10943	IS	S3	Sed	Day	SmallG	Bottom
1095	IM	S4	Mob	Day	MedG	Low
10958	HD	S2	Sed	Day	Sol	Low
1097	FC	S6	Sed	Night	Sol	Bottom
10974	HD	S2	Sed	Day	Pair	Bottom
1098	IM	S6	Sed	Both	Sol	Bottom
10982	HD	S2	Sed	Day	Pair	Bottom
10986	IM	S2	Sed	Day	Sol	Low
1099	IM	S6	Sed	Both	Sol	Bottom
10990	HD	S3	Sed	Day	Pair	Bottom
10994	IM	S3	Mob	Day	SmallG	Bottom
10997	HD	S2	Sed	Day	Pair	Bottom
10999	IM	S4	Mob	Day	Sol	Bottom
11000	HD	S2	Sed	Day	Pair	Bottom
1102	OM	S2	Sed	Day	SmallG	Bottom
1103	IM	S5	Sed	Both	Sol	Bottom
1104	FC	S6	Sed	Day	Sol	Bottom
1105	FC	S6	Sed	Day	Sol	Bottom
1107	IM	S5	Mob	Day	Sol	Low
1109	IS	S4	Mob	Day	Sol	Low
111	PK	S4	VMob	Both	LargeG	High
11100	HD	S1	Sed	Day	Pair	Bottom
11106	HD	S1	Sed	Day	Sol	Low
1111	IM	S4	Mob	Day	SmallG	Low
11111	HD	S2	Sed	Day	Pair	Bottom
11113	FC	S2	Sed	Night	Sol	Bottom
11116	IS	S2	Sed	Day	Sol	Bottom
11119	IS	S3	Sed	Day	Sol	Bottom
1112	IM	S4	Mob	Day	SmallG	Low
11124	IS	S3	Sed	Day	Sol	Bottom
11132	PK	S3	Sed	Day	SmallG	Low
11144	FC	S2	Sed	Night	Sol	Bottom
11150	FC	S2	Sed	Night	Sol	Bottom
11153	PK	S3	Sed	Day	SmallG	Low
11158	PK	S4	Sed	Day	SmallG	Low
11163	OM	S4	Mob	Day	Sol	Low
1117	IS	S5	Mob	Day	Pair	Low
11170	IM	S1	Sed	Day	Sol	Bottom
