Order	Family	Genus	Species	Latin_name	Reef_associated
25430	Perciformes	Pomacanthidae	Pomacanthus	rhomboides	Pomacanthus_rhomboides	1
25434	Perciformes	Chaetodontidae	Chelmonops	curiosus	Chelmonops_curiosus	1
25435	Perciformes	Chaetodontidae	Hemitaurichthys	multispinosus	Hemitaurichthys_multispinosus	1
8916	Perciformes	Chaetodontidae	Chaetodon	dolosus	Chaetodon_dolosus	1
25437	Perciformes	Mullidae	Mulloidichthys	mimicus	Mulloidichthys_mimicus	1
25439	Perciformes	Kyphosidae	Girella	freminvillii	Girella_freminvillii	1
25446	Perciformes	Cheilodactylidae	Cheilodactylus	pixi	Cheilodactylus_pixi	1
25447	Perciformes	Pempheridae	Pempheris	adusta	Pempheris_adusta	1
25449	Perciformes	Pempheridae	Pempheris	mangula	Pempheris_mangula	1
25451	Perciformes	Blenniidae	Ecsenius	nalolo	Ecsenius_nalolo	1
25452	Perciformes	Gobiidae	Eviota	guttata	Eviota_guttata	1
25453	Perciformes	Blenniidae	Istiblennius	unicolor	Istiblennius_unicolor	1
25456	Perciformes	Clinidae	Blennioclinus	brachycephalus	Blennioclinus_brachycephalus	1
25461	Perciformes	Gobiidae	Eviota	nigripinna	Eviota_nigripinna	1
25462	Perciformes	Gobiidae	Eviota	zebrina	Eviota_zebrina	1
25463	Perciformes	Gobiidae	Tomiyamichthys	latruncularius	Tomiyamichthys_latruncularius	1
25489	Perciformes	Gobiidae	Oplopomus	caninoides	Oplopomus_caninoides	1
25493	Perciformes	Gobiidae	Hazeus	maculipinna	Hazeus_maculipinna	1
25494	Perciformes	Gobiidae	Palutrus	reticularis	Palutrus_reticularis	1
25501	Perciformes	Haemulidae	Orthopristis	forbesi	Orthopristis_forbesi	1
25502	Perciformes	Haemulidae	Xenocys	jessiae	Xenocys_jessiae	1
25503	Perciformes	Haemulidae	Xenichthys	agassizii	Xenichthys_agassizii	1
25507	Perciformes	Apogonidae	Apogon	atradorsatus	Apogon_atradorsatus	1
25508	Perciformes	Apogonidae	Apogon	pacificus	Apogon_pacificus	1
25509	Perciformes	Gobiidae	Pleurosicya	micheli	Pleurosicya_micheli	1
25510	Perciformes	Chaenopsidae	Acanthemblemaria	castroi	Acanthemblemaria_castroi	1
25513	Perciformes	Blenniidae	Plagiotremus	azaleus	Plagiotremus_azaleus	1
25522	Perciformes	Labrisomidae	Malacoctenus	tetranemus	Malacoctenus_tetranemus	1
25525	Perciformes	Gobiidae	Priolepis	nocturna	Priolepis_nocturna	1
25529	Perciformes	Labrisomidae	Malacoctenus	zonogaster	Malacoctenus_zonogaster	1
25531	Perciformes	Labrisomidae	Labrisomus	dendriticus	Labrisomus_dendriticus	1
25532	Perciformes	Chaenopsidae	Chaenopsis	schmitti	Chaenopsis_schmitti	1
25534	Perciformes	Gobiidae	Coryphopterus	urospilus	Coryphopterus_urospilus	1
25538	Perciformes	Gobiidae	Sueviota	lachneri	Sueviota_lachneri	1
25541	Perciformes	Gobiidae	Trimma	emeryi	Trimma_emeryi	1
25542	Perciformes	Gobiidae	Lythrypnus	gilberti	Lythrypnus_gilberti	1
25543	Perciformes	Gobiidae	Trimma	flammeum	Trimma_flammeum	1
25544	Gobiesociformes	Gobiesocidae	Arcos	poecilophthalmos	Arcos_poecilophthalmos	1
25545	Perciformes	Serranidae	Rypticus	bicolor	Rypticus_bicolor	1
25547	Anguilliformes	Ophichthidae	Quassiremus	evionthas	Quassiremus_evionthas	1
25552	Perciformes	Serranidae	Liopropoma	fasciatum	Liopropoma_fasciatum	1
25553	Perciformes	Tripterygiidae	Lepidonectes	corallicola	Lepidonectes_corallicola	1
25620	Perciformes	Gobiidae	Trimmatom	nanus	Trimmatom_nanus	1
25626	Perciformes	Gobiidae	Tomiyamichthys	praealta	Tomiyamichthys_praealta	1
25677	Perciformes	Scaridae	Chlorurus	capistratoides	Chlorurus_capistratoides	1
25682	Perciformes	Serranidae	Pseudanthias	parvirostris	Pseudanthias_parvirostris	1
25683	Perciformes	Pseudochromidae	Chlidichthys	inornatus	Chlidichthys_inornatus	1
25685	Perciformes	Pseudochromidae	Pseudochromis	coccinicauda	Pseudochromis_coccinicauda	1
25686	Perciformes	Apogonidae	Apogon	abrogramma	Apogon_abrogramma	1
25688	Perciformes	Labridae	Coris	batuensis	Coris_batuensis	1
25689	Perciformes	Labridae	Halichoeres	trispilus	Halichoeres_trispilus	1
25690	Perciformes	Labridae	Halichoeres	vrolikii	Halichoeres_vrolikii	1
25691	Perciformes	Tripterygiidae	Helcogramma	maldivensis	Helcogramma_maldivensis	1
25692	Perciformes	Tripterygiidae	Helcogramma	larvata	Helcogramma_larvata	1
25694	Perciformes	Blenniidae	Entomacrodus	vermiculatus	Entomacrodus_vermiculatus	1
26832	Perciformes	Gobiidae	Aulopareia	janetae	Aulopareia_janetae	1
26837	Perciformes	Pseudochromidae	Pseudoplesiops	collare	Pseudoplesiops_collare	1
26840	Perciformes	Pseudochromidae	Pseudochromis	reticulatus	Pseudochromis_reticulatus	1
26841	Perciformes	Gobiidae	Glossogobius	sparsipapillus	Glossogobius_sparsipapillus	1
26864	Perciformes	Labridae	Halichoeres	leptotaenia	Halichoeres_leptotaenia	1
26865	Perciformes	Labridae	Halichoeres	signifer	Halichoeres_signifer	1
26866	Perciformes	Labridae	Halichoeres	melas	Halichoeres_melas	1
26868	Perciformes	Tripterygiidae	Enneapterygius	melanospilus	Enneapterygius_melanospilus	1
26872	Perciformes	Serranidae	Pseudanthias	regalis	Pseudanthias_regalis	1
26966	Perciformes	Apogonidae	Pseudamia	rubra	Pseudamia_rubra	1
26967	Syngnathiformes	Syngnathidae	Doryrhamphus	aurolineatus	Doryrhamphus_aurolineatus	1
26968	Perciformes	Labridae	Thalassoma	loxum	Thalassoma_loxum	1
25701	Scorpaeniformes	Tetrarogidae	Ablabys	macracanthus	Ablabys_macracanthus	0
25703	Anguilliformes	Chlopsidae	Kaupichthys	diodontus	Kaupichthys_diodontus	1
25706	Perciformes	Haemulidae	Plectorhinchus	vittatus	Plectorhinchus_vittatus	1
25754	Perciformes	Labridae	Bodianus	opercularis	Bodianus_opercularis	1
25756	Perciformes	Labridae	Choerodon	rubescens	Choerodon_rubescens	1
25759	Perciformes	Labridae	Cirrhilabrus	blatteus	Cirrhilabrus_blatteus	1
25760	Perciformes	Labridae	Cirrhilabrus	balteatus	Cirrhilabrus_balteatus	1
25762	Perciformes	Labridae	Cirrhilabrus	johnsoni	Cirrhilabrus_johnsoni	1
25763	Perciformes	Labridae	Cirrhilabrus	rhomboidalis	Cirrhilabrus_rhomboidalis	1
25764	Perciformes	Labridae	Conniella	apterygia	Conniella_apterygia	1
25765	Perciformes	Labridae	Paracheilinus	bellae	Paracheilinus_bellae	1
25769	Perciformes	Labridae	Coris	auricularis	Coris_auricularis	1
25781	Perciformes	Labridae	Minilabrus	striatus	Minilabrus_striatus	1
25783	Perciformes	Labridae	Pseudocoris	aurantiofasciata	Pseudocoris_aurantiofasciata	1
25785	Perciformes	Serranidae	Anthias	salmopunctatus	Anthias_salmopunctatus	1
25787	Perciformes	Labridae	Thalassoma	rueppellii	Thalassoma_rueppellii	1
25788	Perciformes	Labridae	Larabicus	quadrilineatus	Larabicus_quadrilineatus	1
25790	Perciformes	Blenniidae	Meiacanthus	bundoon	Meiacanthus_bundoon	1
25794	Perciformes	Blenniidae	Ecsenius	aroni	Ecsenius_aroni	1
25795	Perciformes	Blenniidae	Salarias	alboguttatus	Salarias_alboguttatus	1
25798	Perciformes	Gobiidae	Cryptocentrus	caeruleomaculatus	Cryptocentrus_caeruleomaculatus	1
25799	Perciformes	Gobiidae	Cryptocentrus	leptocephalus	Cryptocentrus_leptocephalus	1
25800	Perciformes	Gobiidae	Cryptocentrus	lutheri	Cryptocentrus_lutheri	1
25802	Perciformes	Acanthuridae	Zebrasoma	rostratum	Zebrasoma_rostratum	1
25806	Perciformes	Cirrhitidae	Cirrhitichthys	guichenoti	Cirrhitichthys_guichenoti	1
25808	Perciformes	Haemulidae	Plectorhinchus	multivittatus	Plectorhinchus_multivittatus	1
25809	Perciformes	Labridae	Thalassoma	genivittatum	Thalassoma_genivittatum	1
25837	Perciformes	Callionymidae	Diplogrammus	xenicus	Diplogrammus_xenicus	1
25838	Perciformes	Labridae	Halichoeres	pelicieri	Halichoeres_pelicieri	1
25845	Scorpaeniformes	Scorpaenidae	Rhinopias	eschmeyeri	Rhinopias_eschmeyeri	1
25955	Syngnathiformes	Syngnathidae	Hippocampus	fuscus	Hippocampus_fuscus	1
25974	Syngnathiformes	Syngnathidae	Hippocampus	spinosissimus	Hippocampus_spinosissimus	1
2603	Anguilliformes	Moringuidae	Moringua	edwardsi	Moringua_edwardsi	1
2605	Anguilliformes	Chlopsidae	Chilorhinus	suensonii	Chilorhinus_suensonii	1
2606	Anguilliformes	Chlopsidae	Kaupichthys	hyoproroides	Kaupichthys_hyoproroides	1
26061	Perciformes	Centracanthidae	Spicara	axillaris	Spicara_axillaris	1
2607	Anguilliformes	Chlopsidae	Kaupichthys	nuchalis	Kaupichthys_nuchalis	1
2608	Anguilliformes	Muraenidae	Anarchias	similis	Anarchias_similis	1
2609	Anguilliformes	Muraenidae	Echidna	catenata	Echidna_catenata	1
26095	Batrachoidiformes	Batrachoididae	Sanopus	greenfieldorum	Sanopus_greenfieldorum	1
261	Perciformes	Lutjanidae	Lutjanus	fulviflamma	Lutjanus_fulviflamma	1
2610	Anguilliformes	Muraenidae	Enchelycore	carychroa	Enchelycore_carychroa	1
26104	Syngnathiformes	Syngnathidae	Solegnathus	dunckeri	Solegnathus_dunckeri	1
2612	Anguilliformes	Muraenidae	Gymnothorax	hubbsi	Gymnothorax_hubbsi	1
26120	Perciformes	Labridae	Xyrichtys	virens	Xyrichtys_virens	1
2613	Anguilliformes	Muraenidae	Gymnothorax	mordax	Gymnothorax_mordax	1
2615	Anguilliformes	Muraenidae	Gymnothorax	nigromarginatus	Gymnothorax_nigromarginatus	1
2616	Anguilliformes	Muraenidae	Gymnothorax	saxicola	Gymnothorax_saxicola	1
2618	Anguilliformes	Muraenidae	Muraena	retifera	Muraena_retifera	1
26181	Perciformes	Pseudochromidae	Pseudochromis	aldabraensis	Pseudochromis_aldabraensis	1
26186	Perciformes	Pseudochromidae	Pseudochromis	caudalis	Pseudochromis_caudalis	1
26196	Beryciformes	Holocentridae	Myripristis	aulacodes	Myripristis_aulacodes	1
262	Perciformes	Lutjanidae	Lutjanus	fulvus	Lutjanus_fulvus	1
26201	Beryciformes	Holocentridae	Myripristis	botche	Myripristis_botche	1
26210	Beryciformes	Holocentridae	Myripristis	formosa	Myripristis_formosa	1
26212	Beryciformes	Holocentridae	Myripristis	greenfieldi	Myripristis_greenfieldi	1
26220	Perciformes	Blenniidae	Pereulixia	kosiensis	Pereulixia_kosiensis	1
26221	Perciformes	Scaridae	Scarus	zufar	Scarus_zufar	1
26224	Perciformes	Clinidae	Blennioclinus	stella	Blennioclinus_stella	1
26227	Perciformes	Clinidae	Blennophis	anguillaris	Blennophis_anguillaris	1
26231	Perciformes	Clinidae	Blennophis	striatus	Blennophis_striatus	1
2624	Anguilliformes	Congridae	Ariosoma	anale	Ariosoma_anale	1
26243	Perciformes	Clinidae	Clinus	acuminatus	Clinus_acuminatus	1
26245	Perciformes	Clinidae	Clinus	agilis	Clinus_agilis	1
26246	Beryciformes	Holocentridae	Myripristis	robusta	Myripristis_robusta	1
26247	Perciformes	Clinidae	Clinus	brevicristatus	Clinus_brevicristatus	1
26249	Perciformes	Clinidae	Clinus	cottoides	Clinus_cottoides	1
26250	Perciformes	Clinidae	Clinus	helenae	Clinus_helenae	1
26251	Perciformes	Clinidae	Clinus	robustus	Clinus_robustus	1
26254	Perciformes	Clinidae	Clinus	superciliosus	Clinus_superciliosus	1
26255	Perciformes	Clinidae	Clinus	taurus	Clinus_taurus	1
26256	Perciformes	Clinidae	Clinus	venustris	Clinus_venustris	1
26257	Perciformes	Clinidae	Clinus	woodi	Clinus_woodi	1
26258	Perciformes	Clinidae	Muraenoclinus	dorsalis	Muraenoclinus_dorsalis	1
26261	Perciformes	Clinidae	Pavoclinus	graminis	Pavoclinus_graminis	1
26264	Perciformes	Clinidae	Smithichthys	fucorum	Smithichthys_fucorum	1
26265	Perciformes	Clinidae	Pavoclinus	profundus	Pavoclinus_profundus	1
26266	Perciformes	Clinidae	Pavoclinus	pavo	Pavoclinus_pavo	1
26276	Perciformes	Labridae	Leptojulis	chrysotaenia	Leptojulis_chrysotaenia	1
26286	Perciformes	Labridae	Leptojulis	lambdastigma	Leptojulis_lambdastigma	1
26289	Perciformes	Labridae	Leptojulis	polylepis	Leptojulis_polylepis	1
2631	Anguilliformes	Congridae	Paraconger	caudilimbatus	Paraconger_caudilimbatus	1
26317	Perciformes	Gobiidae	Priolepis	compita	Priolepis_compita	1
26318	Perciformes	Gobiidae	Pleurosicya	fringilla	Pleurosicya_fringilla	1
26319	Perciformes	Gobiidae	Pleurosicya	boldinghi	Pleurosicya_boldinghi	1
26320	Perciformes	Gobiidae	Trimma	macrophthalma	Trimma_macrophthalma	1
2633	Anguilliformes	Ophichthidae	Ahlia	egmontis	Ahlia_egmontis	1
2634	Anguilliformes	Ophichthidae	Aprognathodon	platyventris	Aprognathodon_platyventris	1
26343	Perciformes	Tripterygiidae	Helcogramma	steinitzi	Helcogramma_steinitzi	1
26344	Perciformes	Tripterygiidae	Enneapterygius	hollemani	Enneapterygius_hollemani	1
2638	Anguilliformes	Ophichthidae	Bascanichthys	scuticaris	Bascanichthys_scuticaris	1
26398	Perciformes	Gobiidae	Gobiopsis	pinto	Gobiopsis_pinto	1
264	Perciformes	Lutjanidae	Lutjanus	johnii	Lutjanus_johnii	1
2642	Anguilliformes	Ophichthidae	Caralophia	loxochila	Caralophia_loxochila	1
26420	Tetraodontiformes	Tetraodontidae	Torquigener	balteus	Torquigener_balteus	1
26426	Perciformes	Xenisthmidae	Xenisthmus	africanus	Xenisthmus_africanus	1
2645	Anguilliformes	Ophichthidae	Echiophis	punctifer	Echiophis_punctifer	1
2647	Anguilliformes	Ophichthidae	Ichthyapus	ophioneus	Ichthyapus_ophioneus	1
2649	Anguilliformes	Ophichthidae	Myrichthys	breviceps	Myrichthys_breviceps	1
265	Perciformes	Lutjanidae	Lutjanus	gibbus	Lutjanus_gibbus	1
2650	Anguilliformes	Ophichthidae	Myrichthys	maculosus	Myrichthys_maculosus	1
2651	Anguilliformes	Ophichthidae	Myrichthys	ocellatus	Myrichthys_ocellatus	1
2652	Anguilliformes	Ophichthidae	Myrophis	punctatus	Myrophis_punctatus	1
2654	Anguilliformes	Ophichthidae	Ophichthus	cruentifer	Ophichthus_cruentifer	1
2656	Anguilliformes	Ophichthidae	Ophichthus	puncticeps	Ophichthus_puncticeps	1
266	Perciformes	Lutjanidae	Lutjanus	griseus	Lutjanus_griseus	1
26611	Perciformes	Gobiidae	Opua	atherinoides	Opua_atherinoides	1
26632	Perciformes	Apogonidae	Apogon	pseudotaeniatus	Apogon_pseudotaeniatus	1
26635	Perciformes	Gobiidae	Amblyeleotris	downingi	Amblyeleotris_downingi	1
26636	Perciformes	Gobiidae	Amblyeleotris	triguttata	Amblyeleotris_triguttata	1
26638	Perciformes	Pomacentridae	Chromis	flavaxilla	Chromis_flavaxilla	1
26639	Tetraodontiformes	Tetraodontidae	Torquigener	flavimaculosus	Torquigener_flavimaculosus	1
26659	Tetraodontiformes	Monacanthidae	Paramonacanthus	choirocephalus	Paramonacanthus_choirocephalus	1
26660	Perciformes	Chaenopsidae	Neoclinus	okazakii	Neoclinus_okazakii	1
26673	Perciformes	Chaenopsidae	Neoclinus	nudus	Neoclinus_nudus	1
26677	Perciformes	Gobiidae	Coryogalops	tessellatus	Coryogalops_tessellatus	1
26684	Perciformes	Gobiidae	Fusigobius	inframaculatus	Fusigobius_inframaculatus	1
26691	Perciformes	Gobiidae	Ego	zebra	Ego_zebra	1
26693	Perciformes	Pomacentridae	Chromis	pamae	Chromis_pamae	1
26704	Perciformes	Pomacentridae	Chromis	bami	Chromis_bami	1
26714	Perciformes	Serranidae	Plectranthias	pelicieri	Plectranthias_pelicieri	1
26729	Perciformes	Serranidae	Plectranthias	cirrhitoides	Plectranthias_cirrhitoides	1
26735	Perciformes	Serranidae	Plectranthias	inermis	Plectranthias_inermis	1
26755	Perciformes	Serranidae	Plectranthias	rubrifasciatus	Plectranthias_rubrifasciatus	1
26761	Perciformes	Serranidae	Plectranthias	vexillarius	Plectranthias_vexillarius	1
26769	Perciformes	Pseudochromidae	Pseudochromis	kolythrus	Pseudochromis_kolythrus	1
26773	Perciformes	Xenisthmidae	Xenisthmus	balius	Xenisthmus_balius	1
26779	Perciformes	Xenisthmidae	Paraxenisthmus	springeri	Paraxenisthmus_springeri	1
26785	Perciformes	Pseudochromidae	Pseudochromis	striatus	Pseudochromis_striatus	1
26791	Perciformes	Pseudochromidae	Pictichromis	ephippiata	Pictichromis_ephippiata	1
26799	Perciformes	Pseudochromidae	Pseudochromis	leucorhynchus	Pseudochromis_leucorhynchus	1
26804	Perciformes	Pseudochromidae	Pseudochromis	linda	Pseudochromis_linda	1
26810	Perciformes	Pseudochromidae	Pseudochromis	nigrovittatus	Pseudochromis_nigrovittatus	1
26817	Perciformes	Pseudochromidae	Pseudochromis	omanensis	Pseudochromis_omanensis	1
26820	Perciformes	Pseudochromidae	Chlidichthys	cacatuoides	Chlidichthys_cacatuoides	1
26823	Perciformes	Pseudochromidae	Halidesmus	coccus	Halidesmus_coccus	1
26828	Perciformes	Pseudochromidae	Pseudochromis	viridis	Pseudochromis_viridis	1
26991	Perciformes	Gobiidae	Trimma	winterbottomi	Trimma_winterbottomi	1
26993	Perciformes	Gobiidae	Callogobius	amikami	Callogobius_amikami	1
26994	Perciformes	Apogonidae	Apogon	omanensis	Apogon_omanensis	1
26999	Perciformes	Pseudochromidae	Haliophis	diademus	Haliophis_diademus	1
27000	Perciformes	Plesiopidae	Plesiops	mystaxus	Plesiops_mystaxus	1
27001	Perciformes	Serranidae	Pseudanthias	marcia	Pseudanthias_marcia	1
27004	Perciformes	Pomacentridae	Chrysiptera	sheila	Chrysiptera_sheila	1
27006	Perciformes	Trichonotidae	Trichonotus	arabicus	Trichonotus_arabicus	1
27015	Perciformes	Blenniidae	Istiblennius	pox	Istiblennius_pox	1
27016	Perciformes	Blenniidae	Istiblennius	spilotus	Istiblennius_spilotus	1
27030	Perciformes	Callionymidae	Synchiropus	moyeri	Synchiropus_moyeri	1
27037	Perciformes	Apogonidae	Apogon	selas	Apogon_selas	1
27038	Anguilliformes	Ophichthidae	Ophichthus	rutidoderma	Ophichthus_rutidoderma	1
27050	Perciformes	Blenniidae	Scartichthys	variolatus	Scartichthys_variolatus	1
27078	Perciformes	Labridae	Pseudocoris	ocellata	Pseudocoris_ocellata	1
27080	Perciformes	Tripterygiidae	Enneapterygius	cheni	Enneapterygius_cheni	1
27084	Anguilliformes	Muraenidae	Gymnothorax	niphostigmus	Gymnothorax_niphostigmus	1
27088	Gobiesociformes	Gobiesocidae	Lepadichthys	bolini	Lepadichthys_bolini	1
27142	Scorpaeniformes	Tetrarogidae	Cottapistus	scorpio	Cottapistus_scorpio	0
2716	Aulopiformes	Synodontidae	Saurida	brasiliensis	Saurida_brasiliensis	1
2717	Aulopiformes	Synodontidae	Saurida	caribbaea	Saurida_caribbaea	1
27178	Perciformes	Blenniidae	Blenniella	caudolineata	Blenniella_caudolineata	1
2718	Aulopiformes	Synodontidae	Saurida	normani	Saurida_normani	1
27180	Perciformes	Blenniidae	Blenniella	interrupta	Blenniella_interrupta	1
27181	Perciformes	Blenniidae	Blenniella	leopardus	Blenniella_leopardus	1
27183	Perciformes	Blenniidae	Blenniella	paula	Blenniella_paula	1
2719	Aulopiformes	Synodontidae	Synodus	foetens	Synodus_foetens	1
27195	Perciformes	Blenniidae	Istiblennius	steindachneri	Istiblennius_steindachneri	1
2720	Aulopiformes	Synodontidae	Synodus	intermedius	Synodus_intermedius	1
2721	Aulopiformes	Synodontidae	Synodus	lucioceps	Synodus_lucioceps	1
27211	Batrachoidiformes	Batrachoididae	Perulibatrachus	kilburni	Perulibatrachus_kilburni	1
2722	Aulopiformes	Synodontidae	Synodus	poeyi	Synodus_poeyi	1
2723	Aulopiformes	Synodontidae	Synodus	synodus	Synodus_synodus	1
27231	Anguilliformes	Muraenidae	Muraena	pavonina	Muraena_pavonina	1
27233	Perciformes	Apogonidae	Apogon	americanus	Apogon_americanus	1
27234	Perciformes	Chaetodontidae	Prognathodes	obliquus	Prognathodes_obliquus	1
27235	Perciformes	Labridae	Thalassoma	noronhanum	Thalassoma_noronhanum	1
27236	Perciformes	Labrisomidae	Starksia	sluiteri	Starksia_sluiteri	1
27237	Perciformes	Blenniidae	Istiblennius	muelleri	Istiblennius_muelleri	1
2724	Aulopiformes	Synodontidae	Trachinocephalus	myops	Trachinocephalus_myops	1
27244	Perciformes	Tripterygiidae	Enneanectes	smithi	Enneanectes_smithi	1
27245	Perciformes	Blenniidae	Istiblennius	flaviumbrinus	Istiblennius_flaviumbrinus	1
27247	Perciformes	Blenniidae	Istiblennius	colei	Istiblennius_colei	1
27276	Perciformes	Blenniidae	Ecsenius	pulcher	Ecsenius_pulcher	1
27278	Perciformes	Blenniidae	Ecsenius	oculatus	Ecsenius_oculatus	1
27279	Anguilliformes	Muraenidae	Uropterygius	makatei	Uropterygius_makatei	1
27280	Perciformes	Blenniidae	Ecsenius	pardus	Ecsenius_pardus	1
27293	Perciformes	Blenniidae	Ecsenius	portenoyi	Ecsenius_portenoyi	1
27294	Perciformes	Blenniidae	Ecsenius	tessera	Ecsenius_tessera	1
27295	Perciformes	Blenniidae	Ecsenius	dentex	Ecsenius_dentex	1
27296	Perciformes	Blenniidae	Ecsenius	alleni	Ecsenius_alleni	1
27298	Lophiiformes	Antennariidae	Antennarius	duescus	Antennarius_duescus	1
27310	Anguilliformes	Muraenidae	Gymnothorax	flavoculus	Gymnothorax_flavoculus	1
27311	Batrachoidiformes	Batrachoididae	Bifax	lacinia	Bifax_lacinia	1
27312	Perciformes	Serranidae	Pseudanthias	sheni	Pseudanthias_sheni	1
27313	Perciformes	Apogonidae	Apogon	dhofar	Apogon_dhofar	1
27315	Perciformes	Apogonidae	Archamia	pallida	Archamia_pallida	1
27316	Perciformes	Haemulidae	Pomadasys	aheneus	Pomadasys_aheneus	1
27317	Perciformes	Haemulidae	Pomadasys	taeniatus	Pomadasys_taeniatus	1
27318	Perciformes	Acanthuridae	Naso	caeruleacauda	Naso_caeruleacauda	1
27319	Anguilliformes	Muraenidae	Gymnothorax	angusticauda	Gymnothorax_angusticauda	1
27325	Anguilliformes	Muraenidae	Gymnothorax	punctatus	Gymnothorax_punctatus	1
27334	Anguilliformes	Muraenidae	Gymnothorax	moluccensis	Gymnothorax_moluccensis	1
27338	Ophidiiformes	Bythitidae	Alionematichthys	riukiuensis	Alionematichthys_riukiuensis	1
27341	Anguilliformes	Muraenidae	Gymnothorax	punctatofasciatus	Gymnothorax_punctatofasciatus	1
27347	Anguilliformes	Muraenidae	Uropterygius	polyspilus	Uropterygius_polyspilus	1
27348	Beryciformes	Holocentridae	Sargocentron	lepros	Sargocentron_lepros	1
27349	Syngnathiformes	Syngnathidae	Corythoichthys	paxtoni	Corythoichthys_paxtoni	1
27350	Anguilliformes	Ophichthidae	Muraenichthys	sibogae	Muraenichthys_sibogae	1
27351	Anguilliformes	Ophichthidae	Muraenichthys	macrostomus	Muraenichthys_macrostomus	1
27352	Syngnathiformes	Syngnathidae	Festucalex	gibbsi	Festucalex_gibbsi	1
27354	Perciformes	Gobiidae	Priolepis	kappa	Priolepis_kappa	1
27356	Perciformes	Tripterygiidae	Ceratobregma	striata	Ceratobregma_striata	1
27363	Scorpaeniformes	Scorpaenidae	Scorpaenodes	corallinus	Scorpaenodes_corallinus	1
27370	Perciformes	Blenniidae	Ecsenius	fourmanoiri	Ecsenius_fourmanoiri	1
27372	Scorpaeniformes	Scorpaenidae	Scorpaena	grandisquamis	Scorpaena_grandisquamis	1
27393	Anguilliformes	Muraenidae	Uropterygius	fasciolatus	Uropterygius_fasciolatus	1
27394	Anguilliformes	Muraenidae	Echidna	xanthospilos	Echidna_xanthospilos	1
27395	Anguilliformes	Congridae	Heteroconger	cobra	Heteroconger_cobra	1
27396	Anguilliformes	Ophichthidae	Bascanichthys	longipinnis	Bascanichthys_longipinnis	1
27399	Anguilliformes	Ophichthidae	Cirrhimuraena	cheilopogon	Cirrhimuraena_cheilopogon	1
27405	Anguilliformes	Ophichthidae	Cirrhimuraena	chinensis	Cirrhimuraena_chinensis	1
27436	Scorpaeniformes	Apistidae	Cheroscorpaena	tridactyla	Cheroscorpaena_tridactyla	0
27438	Scorpaeniformes	Scorpaenidae	Parascorpaena	aurita	Parascorpaena_aurita	1
27441	Scorpaeniformes	Scorpaenidae	Rhinopias	godfreyi	Rhinopias_godfreyi	1
27445	Scorpaeniformes	Synanceiidae	Synanceia	alula	Synanceia_alula	1
27475	Perciformes	Pseudochromidae	Pictichromis	aurifrons	Pictichromis_aurifrons	1
27476	Perciformes	Pseudochromidae	Pholidochromis	marginata	Pholidochromis_marginata	1
27481	Perciformes	Apogonidae	Apogon	dammermani	Apogon_dammermani	1
27483	Perciformes	Apogonidae	Apogon	novaeguineae	Apogon_novaeguineae	1
27484	Perciformes	Apogonidae	Archamia	buruensis	Archamia_buruensis	1
27497	Gobiesociformes	Gobiesocidae	Alabes	parvula	Alabes_parvula	1
27501	Anguilliformes	Muraenidae	Gymnothorax	porphyreus	Gymnothorax_porphyreus	1
27503	Perciformes	Plesiopidae	Plesiops	insularis	Plesiops_insularis	1
27504	Perciformes	Kyphosidae	Scorpis	lineolata	Scorpis_lineolata	1
27509	Perciformes	Aplodactylidae	Aplodactylus	etheridgii	Aplodactylus_etheridgii	1
27512	Perciformes	Labridae	Bodianus	unimaculatus	Bodianus_unimaculatus	1
27515	Tetraodontiformes	Monacanthidae	Cantheschenia	longipinnis	Cantheschenia_longipinnis	1
27519	Perciformes	Tripterygiidae	Norfolkia	squamiceps	Norfolkia_squamiceps	1
27520	Perciformes	Tripterygiidae	Enneapterygius	rufopileus	Enneapterygius_rufopileus	1
27521	Perciformes	Blenniidae	Parablennius	serratolineatus	Parablennius_serratolineatus	1
27534	Perciformes	Blenniidae	Omox	lupus	Omox_lupus	1
27538	Perciformes	Blenniidae	Ecsenius	prooculis	Ecsenius_prooculis	1
27541	Perciformes	Plesiopidae	Notograptus	guttatus	Notograptus_guttatus	1
27542	Perciformes	Tripterygiidae	Enneapterygius	fasciatus	Enneapterygius_fasciatus	1
27549	Perciformes	Gobiidae	Amoya	gracilis	Amoya_gracilis	1
27552	Perciformes	Gobiidae	Amblyeleotris	novaecaledoniae	Amblyeleotris_novaecaledoniae	1
27553	Perciformes	Gobiidae	Amblygobius	esakiae	Amblygobius_esakiae	1
27559	Perciformes	Gobiidae	Callogobius	clitellus	Callogobius_clitellus	1
27560	Perciformes	Gobiidae	Callogobius	hastatus	Callogobius_hastatus	1
27561	Perciformes	Gobiidae	Ctenogobiops	maculosus	Ctenogobiops_maculosus	1
27562	Perciformes	Gobiidae	Gobiodon	heterospilos	Gobiodon_heterospilos	1
27567	Perciformes	Gobiidae	Myersina	lachneri	Myersina_lachneri	1
27570	Perciformes	Gobiidae	Pleurosicya	plicata	Pleurosicya_plicata	1
27571	Perciformes	Gobiidae	Trimma	hoesei	Trimma_hoesei	1
27574	Perciformes	Eleotridae	Calumia	profunda	Calumia_profunda	1
27609	Perciformes	Ptereleotridae	Aioliops	novaeguineae	Aioliops_novaeguineae	1
27610	Perciformes	Ptereleotridae	Parioglossus	philippinus	Parioglossus_philippinus	1
